
					Numbers 1				|
And there was no water for the people: and they came together against Moses and against Aaron.|Vả, không có nước cho hội chúng uống; chúng bèn dấy loạn cùng Môi-se và A-rôn.
And the people were angry with Moses and said, If only death had overtaken us when our brothers came to their death before the Lord!|Dân sự cãi-lộn cùng Môi-se mà rằng: Anh em chúng tôi đã chết trước mặt Đức Giê-hô-va, chớ chi chúng tôi cũng đồng chết luôn thể!
Why have you taken the Lord's people into this waste, for death to come to us and to our cattle there?|Sao người đem hội chúng của Đức Giê-hô-va vào đồng vắng nầy, làm cho chúng tôi và súc vật của chúng tôi phải chết?
Why have you made us come out of Egypt into this evil place? This is no place of seed or figs or vines or other fruits, and there is no water for drinking.|Sao người khiến chúng tôi đi lên khỏi xứ Ê-díp-tô đặng dẫn đến chỗ độc nầy, là nơi người ta không gieo mạ được, và chẳng có cây vả, cây nho, cây lựu, và cũng không có nước uống?
Then Moses and Aaron went away from the people to the door of the Tent of meeting; and, falling on their faces there, they saw the glory of the Lord.|Môi-se và A-rôn bèn lui khỏi mặt hội chúng, đến tại cửa hội mạc, sấp mặt xuống đất; và sự vinh quang của Đức Giê-hô-va cùng hai người.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Take the rod, you and Aaron, your brother, and make all the people come together, and before their eyes give orders to the rock to give out its water; and so make water come out of the rock for them, and give the people and their cattle drink.|Hãy cầm lấy cây gậy ngươi, rồi với A-rôn anh ngươi, hãy truyền nhóm hội chúng, và hai ngươi phải nói cùng hòn đá trước mặt hội chúng, thì hòn đá sẽ chảy nước ra; ngươi sẽ khiến nước từ hòn đá chảy ra cho hội chúng và súc vật của họ uống.
And Moses took the rod from before the Lord as he gave him orders.|Vậy, Môi-se cầm lấy cây gậy ở trước mặt Đức Giê-hô-va, như Ngài đã phán dặn.
Then Moses and Aaron made the people come together in front of the rock, and he said to them, Give ear now, you people whose hearts are turned from the Lord; are we to get water for you out of the rock?|Môi-se và A-rôn truyền nhóm hội chúng đến trước hòn đá mà nói rằng: Hỡi dân phản nghịch! hãy nghe, chúng ta há dễ khiến nước chảy từ hòn đá nầy ra cho các ngươi được sao?
And lifting up his hand, Moses gave the rock two blows with his rod: and water came streaming out, and the people and their cattle had drink enough.|Môi-se giơ tay lên, đập hòn đá hai lần bằng cây gậy mình. Nước bèn chảy tràn ra nhiều, hội chúng uống, và súc vật họ uống nữa.
Then the Lord said to Moses and Aaron, Because you had not enough faith in me to keep my name holy before the children of Israel, you will not take this people into the land which I have given them.|Đoạn, Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng: Bởi vì hai ngươi không có tin đến ta, đặng tôn ta nên thánh trước mặt dân Y-sơ-ra-ên, vì cớ đó, hai ngươi sẽ không đem hội chúng nầy vào xứ mà ta đã cho nó đâu.
These are the waters of Meribah; because the children of Israel went against the Lord, and they saw that he was holy among them.|Ay đó là nước của Mê-ri-ba, tức là nơi dân Y-sơ-ra-ên cãi-trã cùng Đức Giê-hô-va; Ngài tự nên thánh trước mặt dân đó.
Then Moses sent men from Kadesh to the king of Edom to say to him, Your brother Israel says, You have knowledge of all the things we have been through;|Đoạn, từ Ca-đe, Môi-se sai sứ giả đi đến vua Ê-đôm đặng nói rằng: Y-sơ-ra-ên, là em vua, có nói như vầy: Vua biết các sự tai nạn đã xảy đến cho chúng tôi,
How our fathers went down into Egypt, and we were living in Egypt for a long time; and the Egyptians were cruel to us and to our fathers:|và tổ phụ chúng tôi đi xuống xứ Ê-díp-tô là làm sao? Chúng tôi đã ở lâu tại xứ Ê-díp-tô, nhưng dân xứ đó bạc đãi chúng tôi và tổ phụ chúng tôi.
And the Lord gave ear to the voice of our cry, and sent an angel and took us out of Egypt: and now we are in Kadesh, a town on the edge of your land;|Chúng tôi có kêu la cùng Đức Giê-hô-va; Ngài có nghe thấu tiếng kêu, bèn sai một thiên sứ dẫn chúng tôi ra khỏi xứ Ê-díp-tô. Nầy, chúng tôi hiện ở tại Ca-đe, là thành ở nơi đầu bờ cõi của vua.
Let us now go through your land: we will not go into field or vine-garden, or take the water of the springs; we will go by the highway, not turning to the right or to the left, till we have gone past the limits of your land.|Xin cho phép chúng tôi đi ngang qua xứ của vua; chúng tôi sẽ chẳng đi ngang qua đồng ruộng, sẽ chẳng đi ngang vườn nho, và chúng tôi cũng sẽ chẳng uống nước các giếng; chúng tôi sẽ đi theo đường cái của vua, không xây qua bên hữu, cũng không xây qua bên tả cho đến chừng nào đã đi ngang khỏi bờ cõi của vua.
And Edom said, You are not to go through my land, for if you do I will come out against you with the sword.|Nhưng Ê-đôm đáp rằng: Ngươi chớ khá đi ngang ranh ta; bằng cượng, ta sẽ cầm gươm ra đón ngươi.
And the children of Israel said to him, We will go up by the highway: and if we or our cattle take of your water, we will give you a price for it: only let us go through on our feet, nothing more.|Dân Y-sơ-ra-ên tâu rằng: Chúng tôi đi theo đường cái; nếu chúng tôi và bầy súc vật chúng tôi uống nước của vua, thì chúng tôi sẽ trả tiền. Xin chỉ để đi bộ ngang qua, không chi khác nữa.
But he said, You are not to go through. And Edom came out against them in his strength, with a great army.|Nhưng Ê-đôm đáp rằng: Ngươi chẳng được qua đâu! Ê-đôm bèn đem quân chúng rất đông, tay cầm binh khí, ra đón Y-sơ-ra-ên.
So Edom would not let Israel go through his land; and Israel went in another direction.|Ay vậy, Ê-đôm không cho phép Y-sơ-ra-ên đi ngang bờ cõi mình; Y-sơ-ra-ên trở đi khỏi người.
And they went on from Kadesh, and came, with all their people, to Mount Hor.|Cả hội dân Y-sơ-ra-ên đi từ Ca-đe đến núi Hô-rơ.
And at Mount Hor, at the edge of the land of Edom, the Lord said to Moses and Aaron,|Đức Giê-hô-va phán cùng Môi-se và A-rôn trên núi Hô-rơ, tại bờ cõi xứ Ê-đôm, mà rằng:
Aaron will be put to rest with his people; he will not go into the land which I have given to the children of Israel, because you went against my word at the waters of Meribah.|A-rôn sẽ về nơi tổ phụ mình, vì người không được vào xứ mà ta đã ban cho dân Y-sơ-ra-ên đâu; bởi vì tại nước Mê-ri-ba, các ngươi đã bội nghịch điều răn ta.
So take Aaron and Eleazar, his son, up into Mount Hor;|Hãy bắt A-rôn và Ê-lê -a-sa, con trai người, biểu đi lên núi Hô-rơ;
And take Aaron's robes off him and put them on Eleazar, his son: and death will come to Aaron there, and he will be put to rest with his people.|đoạn hãy lột áo xống A-rôn mặc cho Ê-lê -a-sa, con trai người. Ay tại đó A-rôn sẽ được tiếp về và qua đời.
So Moses did as the Lord had said, and before the eyes of all the people they went up Mount Hor.|Vậy, Môi-se làm y như Đức Giê-hô-va đã phán dặn; ba người đi lên núi Hô-rơ, cả hội chúng đều thấy.
And Moses took off Aaron's robes, and put them on Eleazar, his son; and there on the top of the mountain death came to Aaron: then Moses and Eleazar came down from the mountain.|Môi-se lột áo xống A-rôn, mặc cho Ê-lê -a-sa, con trai người. A-rôn chết tại đó, trên chót núi; rồi Môi-se và Ê-lê -a-sa xuống.
And when the people saw that Aaron was dead, all the children of Israel gave themselves up to weeping for him for thirty days.|Cả hội chúng thấy A-rôn đã tắt hơi rồi, bèn khóc người trong ba mươi ngày.

					Numbers 21				|
						Dân Số 21					
And it came to the ears of the Canaanite, the king of Arad, living in the South, that Israel was coming by the way of Atharim, and he came out against them and took some of them prisoners.|Khi vua A-rát, người Ca-na-an, ở nơi Nam phương, hay rằng Y-sơ-ra-ên theo đường do thám đi đến, bèn hãm đánh Y-sơ-ra-ên, và bắt mấy người cầm tù.
Then Israel made an oath to the Lord, and said, If you will give up this people into my hands, then I will send complete destruction on all their towns.|Y-sơ-ra-ên bèn hứa nguyện cùng Đức Giê-hô-va rằng: Nếu Chúa phó dân nầy vào tay tôi, tất tôi sẽ diệt các thành của nó.
